Strain	Latitude	Longitude	Day	Month	Year	Source	Country	Province	City	TP2	Date	YearMonth	YearWeek
Shandong/IVDC-SD-001/2020	36.3489189	118.1565399	19	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-19	2020-01	2020-03
Wuhan/HBCDC-HB-05/2020	30.9732056	112.2761154	18	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-18	2020-01	2020-03
Anhui/SZ005/2020	31.8238602	117.2314758	24	1	2020	Cow_Farm	China	Anhui	Suzhou	1	2020-01-24	2020-01	2020-04
Ganzhou/JX81/2020	27.6112442	115.7272491	25	1	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-01-25	2020-01	2020-04
Guangdong/20SF156/2020	23.3490238	113.4333725	22	1	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-01-22	2020-01	2020-04
Guangzhou/20SF206/2020	23.3490238	113.4333725	22	1	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-01-22	2020-01	2020-04
Hangzhou/HZ162/2020	29.1700821	120.0678864	23	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-23	2020-01	2020-04
Hangzhou/HZCDC0012/2020	29.1700821	120.0678864	20	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-20	2020-01	2020-04
Hangzhou/ZJU-02/2020	29.1700821	120.0678864	26	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-26	2020-01	2020-04
Jiujiang/JX22/2020	27.6112442	115.7272491	22	1	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-01-22	2020-01	2020-04
Shandong/2020C1240367/2020	36.3489189	118.1565399	25	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-25	2020-01	2020-04
Shandong/2020C1240470/2020	36.3489189	118.1565399	26	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-26	2020-01	2020-04
Shandong/LY004-2/2020	36.3489189	118.1565399	26	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-26	2020-01	2020-04
Shanghai/CH-03/2020	31.2303696	121.4737015	23	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-23	2020-01	2020-04
Shanghai/SH0003/2020	31.2303696	121.4737015	25	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-25	2020-01	2020-04
Shangrao/JX105/2020	27.6112442	115.7272491	26	1	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-01-26	2020-01	2020-04
Sichuan/SC-PHCC2-041/2020	30.6250992	102.6972809	24	1	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-01-24	2020-01	2020-04
Sichuan/SC-WCH-310/2020	30.6250992	102.6972809	24	1	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-01-24	2020-01	2020-04
Wuhan/0125-A148/2020	30.9732056	112.2761154	25	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-25	2020-01	2020-04
Wuhan/0125-A168/2020	30.9732056	112.2761154	25	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-25	2020-01	2020-04
Wuhan/0126-C10/2020	30.9732056	112.2761154	26	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-26	2020-01	2020-04
Wuhan/0126-C100/2020	30.9732056	112.2761154	26	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-26	2020-01	2020-04
Wuhan/0126-C106/2020	30.9732056	112.2761154	26	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-26	2020-01	2020-04
Wuhan/0126-C109/2020	30.9732056	112.2761154	26	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-26	2020-01	2020-04
Wuhan/WHUH008/2020	30.9732056	112.2761154	22	1	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-01-22	2020-01	2020-04
Zhejiang/CN2/2020	29.1700821	120.0678864	22	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-22	2020-01	2020-04
Beijing/BJ252/2020	39.9078064	116.397583	29	1	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-01-29	2020-01	2020-05
Beijing/DT-WH01/2020	39.9078064	116.397583	1	2	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-02-01	2020-02	2020-05
Beijing/Wuhan_IME-BJ03/2020	39.9078064	116.397583	28	1	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-01-28	2020-01	2020-05
Guangdong/2020XN4243-P0035/2020	23.3490238	113.4333725	30	1	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-01-30	2020-01	2020-05
Guangdong/20SF812/2020	23.3490238	113.4333725	28	1	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-01-28	2020-01	2020-05
Guangdong/GD2020087-P0008/2020	23.3490238	113.4333725	1	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-01	2020-02	2020-05
Guangdong/GD2020134-P0031/2020	23.3490238	113.4333725	2	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-02	2020-02	2020-05
Lishui/LS557/2020	29.1700821	120.0678864	1	2	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-02-01	2020-02	2020-05
Shandong/2020C1240111/2020	36.3489189	118.1565399	28	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-28	2020-01	2020-05
Shandong/2020C1240152/2020	36.3489189	118.1565399	29	1	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-01-29	2020-01	2020-05
Shanghai/SH0009/2020	31.2303696	121.4737015	29	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-29	2020-01	2020-05
Shanghai/SH0013/2020	31.2303696	121.4737015	30	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-30	2020-01	2020-05
Shanghai/SH0023/2020	31.2303696	121.4737015	30	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-30	2020-01	2020-05
Shanghai/SH0029/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0040/2020	31.2303696	121.4737015	30	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-30	2020-01	2020-05
Shanghai/SH0072/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0076/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0079/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0081/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0088/2020	31.2303696	121.4737015	1	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-01	2020-02	2020-05
Shanghai/SH0094/2020	31.2303696	121.4737015	31	1	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-01-31	2020-01	2020-05
Shanghai/SH0100/2020	31.2303696	121.4737015	2	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-02	2020-02	2020-05
Shaoxing/01/2020	29.1700821	120.0678864	27	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-27	2020-01	2020-05
Shaoxing/03/2020	29.1700821	120.0678864	30	1	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-01-30	2020-01	2020-05
Sichuan/SC-GA-065/2020	30.6250992	102.6972809	1	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-01	2020-02	2020-05
Sichuan/SC-NC-077/2020	30.6250992	102.6972809	29	1	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-01-29	2020-01	2020-05
Beijing/BJ561/2020	39.9078064	116.397583	4	2	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-02-04	2020-02	2020-06
Fuzhou/JX2012/2020	27.6112442	115.7272491	5	2	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-02-05	2020-02	2020-06
Guangdong/20SF2546/2020	23.3490238	113.4333725	6	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-06	2020-02	2020-06
Guangdong/GDSZ202009-P0032/2020	23.3490238	113.4333725	5	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-05	2020-02	2020-06
Guangzhou/GZMU0009/2020	23.3490238	113.4333725	7	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-07	2020-02	2020-06
Guangzhou/GZMU0037/2020	23.3490238	113.4333725	8	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-08	2020-02	2020-06
Lu-an/226/2020	31.8238602	117.2314758	4	2	2020	Cow_Farm	China	Anhui	Suzhou	1	2020-02-04	2020-02	2020-06
Lu-an/235/2020	31.8238602	117.2314758	5	2	2020	Cow_Farm	China	Anhui	Suzhou	1	2020-02-05	2020-02	2020-06
Shandong/2020C1240303/2020	36.3489189	118.1565399	4	2	2020	Cow_Farm	China	Shandong	Suzhou	1	2020-02-04	2020-02	2020-06
Shanghai/SH0066/2020	31.2303696	121.4737015	5	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-05	2020-02	2020-06
Shanghai/SH0068/2020	31.2303696	121.4737015	5	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-05	2020-02	2020-06
Shanghai/SH0071/2020	31.2303696	121.4737015	7	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-07	2020-02	2020-06
Shanghai/SH0077/2020	31.2303696	121.4737015	9	2	2020	Cow_Farm	China	Shanghai	Suzhou	1	2020-02-09	2020-02	2020-06
Shangrao/JX1974/2020	27.6112442	115.7272491	8	2	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-02-08	2020-02	2020-06
Sichuan/SC-PHCC2-049/2020	30.6250992	102.6972809	8	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-08	2020-02	2020-06
Sichuan/SC-PHCC2-050/2020	30.6250992	102.6972809	4	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-04	2020-02	2020-06
Sichuan/SC-WCH-081/2020	30.6250992	102.6972809	3	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-03	2020-02	2020-06
Sichuan/SC-YB-086/2020	30.6250992	102.6972809	4	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-04	2020-02	2020-06
Wuhan/HB-WH5-239/2020	30.9732056	112.2761154	9	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-09	2020-02	2020-06
Wuhan/HBCDC-HB-06/2020	30.9732056	112.2761154	7	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-07	2020-02	2020-06
Guangdong/GDFS2020127-P0026/2020	23.3490238	113.4333725	12	2	2020	Cow_Farm	China	Guangdong	Suzhou	1	2020-02-12	2020-02	2020-07
Sichuan/SC-WCH4-286/2020	30.6250992	102.6972809	10	2	2020	Cow_Farm	China	Sichuan	Suzhou	1	2020-02-10	2020-02	2020-07
Wuhan/HB-WH2-163/2020	30.9732056	112.2761154	10	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-10	2020-02	2020-07
Wuhan/HB-WHCM2-279/2020	30.9732056	112.2761154	11	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-11	2020-02	2020-07
Wuhan/HB-WH1-139/2020	30.9732056	112.2761154	23	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-23	2020-02	2020-08
Wuhan/HB-WH4-200/2020	30.9732056	112.2761154	19	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-19	2020-02	2020-08
Beijing/DT-travelUSA01/2020	39.9078064	116.397583	29	2	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-02-29	2020-02	2020-09
Henan/fahzu0036/2020	34.768433	113.495178	28	2	2020	Cow_Farm	China	Henan	Suzhou	1	2020-02-28	2020-02	2020-09
Wuhan/HB-WH2-146/2020	30.9732056	112.2761154	24	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-24	2020-02	2020-09
Wuhan/HB-WH2-152/2020	30.9732056	112.2761154	28	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-28	2020-02	2020-09
Wuhan/HB-WH2-155/2020	30.9732056	112.2761154	28	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-28	2020-02	2020-09
Wuhan/HB-WH3-173/2020	30.9732056	112.2761154	28	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-28	2020-02	2020-09
Wuhan/HB-WHCM-109/2020	30.9732056	112.2761154	27	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-27	2020-02	2020-09
Wuhan/HB-WHCM2-280/2020	30.9732056	112.2761154	25	2	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-02-25	2020-02	2020-09
Beijing/DT-travelIT01/2020	39.9078064	116.397583	5	3	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-03-05	2020-03	2020-10
Wuhan/HB-WH1-141/2020	30.9732056	112.2761154	3	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-03	2020-03	2020-10
Wuhan/HB-WH3-177/2020	30.9732056	112.2761154	3	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-03	2020-03	2020-10
Wuhan/HB-WH3-191/2020	30.9732056	112.2761154	3	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-03	2020-03	2020-10
Wuhan/HB-WHCM-099/2020	30.9732056	112.2761154	2	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-02	2020-03	2020-10
Wuhan/HB-WHCM-102/2020	30.9732056	112.2761154	2	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-02	2020-03	2020-10
Wuhan/HB-WHCM-108/2020	30.9732056	112.2761154	2	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-02	2020-03	2020-10
Wuhan/HB-WHCM-112/2020	30.9732056	112.2761154	2	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-02	2020-03	2020-10
Beijing/DT-travelES02/2020	39.9078064	116.397583	12	3	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-03-12	2020-03	2020-11
Fujian/IM3520001T/2020	26.0780659	117.9848633	13	3	2020	Cow_Farm	China	Fujian	Suzhou	1	2020-03-13	2020-03	2020-11
Fujian/IM3520002T/2020	26.0780659	117.9848633	15	3	2020	Cow_Farm	China	Fujian	Suzhou	1	2020-03-15	2020-03	2020-11
Hangzhou/HZCDC6789/2020	29.1700821	120.0678864	15	3	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-03-15	2020-03	2020-11
Wuhan/HB-WH3-185/2020	30.9732056	112.2761154	15	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-15	2020-03	2020-11
Beijing/DT-travelUK02/2020	39.9078064	116.397583	16	3	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-03-16	2020-03	2020-12
Beijing/DT-travelUSA02/2020	39.9078064	116.397583	19	3	2020	Cow_Farm	China	Beijing	Suzhou	1	2020-03-19	2020-03	2020-12
Fujian/IM3520008T/2020	26.0780659	117.9848633	21	3	2020	Cow_Farm	China	Fujian	Suzhou	1	2020-03-21	2020-03	2020-12
Hangzhou/HZCDC7155/2020	29.1700821	120.0678864	21	3	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-03-21	2020-03	2020-12
Hangzhou/HZCDCp145/2020	29.1700821	120.0678864	21	3	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-03-21	2020-03	2020-12
Wuhan/HB-WH4-212/2020	30.9732056	112.2761154	19	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-19	2020-03	2020-12
Wuhan/HB-WH5-221/2020	30.9732056	112.2761154	19	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-19	2020-03	2020-12
Wuhan/HB-WH5-236/2020	30.9732056	112.2761154	17	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-17	2020-03	2020-12
Wuhan/HB-WH6-244/2020	30.9732056	112.2761154	16	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-16	2020-03	2020-12
Hangzhou/HZCDC7363/2020	29.1700821	120.0678864	25	3	2020	Cow_Farm	China	Zhejiang	Suzhou	1	2020-03-25	2020-03	2020-13
NanChang/JX216/2020	27.6112442	115.7272491	23	3	2020	Cow_Farm	China	Jiangxi	Suzhou	1	2020-03-23	2020-03	2020-13
Wuhan/HB-WH4-206/2020	30.9732056	112.2761154	27	3	2020	Cow_Farm	China	Hubei	Suzhou	1	2020-03-27	2020-03	2020-13
