Strain	Latitude	Longitude	Day	Month	Year	Source	Country	Province	City	TP2	Date	YearMonth	YearWeek
Spain/AN-IBV-006110/2020	37.4631577	-4.5760531	4	7	2020	Cow_Farm	Spain	Andalusia	Maracena	1	2020-07-04	2020-07	2020-27
Switzerland/BL-ETHZ-190076/2020	47.501203	7.715625	5	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-05	2020-07	2020-27
Spain/VC-IBV-98006466/2020	39.3902435	-0.543139	3	7	2020	Cow_Farm	Spain	Comunitat Valenciana	Castellon de la Plana	1	2020-07-03	2020-07	2020-27
Switzerland/BL-ETHZ-190078/2020	47.501203	7.715625	5	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-05	2020-07	2020-27
Netherlands/ZH-EMC-304/2020	51.9377823	4.462554	4	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-04	2020-07	2020-27
Switzerland/BS-42338923/2020	47.5648575	7.6152802	3	7	2020	Cow_Farm	Switzerland	Basel-Stadt	0	1	2020-07-03	2020-07	2020-27
mink/Netherlands/NB-EMC-19-12/2020	51.5611725	5.1849928	5	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-05	2020-07	2020-27
Switzerland/ZH-ETHZ-190005/2020	47.3670006	8.5500002	3	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-03	2020-07	2020-27
Ireland/D-NVRL-70IRL97963/2020	53.3440971	-6.2674861	4	7	2020	Cow_Farm	Ireland	Dublin	0	1	2020-07-04	2020-07	2020-27
Germany/NW-KRO-199/2020	51.4796906	7.5623112	4	7	2020	Cow_Farm	Germany	North Rhine Westphalia	Guetersloh	1	2020-07-04	2020-07	2020-27
Switzerland/SZ-ETHZ-180045/2020	47.0210342	8.6536007	2	7	2020	Cow_Farm	Switzerland	Schwyz	0	1	2020-07-02	2020-07	2020-27
Spain/CB-IBV-98007082/2020	43.1973839	-4.0326881	3	7	2020	Cow_Farm	Spain	Cantabria	Santander	1	2020-07-03	2020-07	2020-27
Ireland/WW-NVRL-70IRL98345/2020	52.9804726	-6.0427432	4	7	2020	Cow_Farm	Ireland	Wicklow	0	1	2020-07-04	2020-07	2020-27
Netherlands/un-RUMC-000004/2020	56.2487679	9.3879137	1	7	2020	Cow_Farm	Netherlands	0	0	1	2020-07-01	2020-07	2020-27
Switzerland/AG-ETHZ-190070/2020	47.436517	8.144788	4	7	2020	Cow_Farm	Switzerland	Aargau	0	1	2020-07-04	2020-07	2020-27
Wales/PHWC-1692C2/2020	51.481308	-3.1804979	2	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-02	2020-07	2020-27
Netherlands/ZH-EMC-294/2020	51.9377823	4.462554	3	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-03	2020-07	2020-27
Spain/AN-IBV-006108/2020	37.4631577	-4.5760531	2	7	2020	Cow_Farm	Spain	Andalusia	Granada	1	2020-07-02	2020-07	2020-27
Wales/ALDP-6C3E72/2020	51.481308	-3.1804979	1	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-01	2020-07	2020-27
Switzerland/ZH-ETHZ-180040/2020	47.3670006	8.5500002	2	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-02	2020-07	2020-27
Russia/OMS-ORINFI-2149S/2020	54.9797592	73.4106369	2	7	2020	Cow_Farm	Russia	Omsk	Azovo	1	2020-07-02	2020-07	2020-27
