Strain	0	1	2	3	4	5
Anhui/SZ005/2020	1	1	1	1	1	1
Beijing/105/2020	1	1	1	1	1	1
Beijing/231/2020	1	1	1	1	1	1
Beijing/233/2020	1	1	1	1	1	1
Beijing/235/2020	1	1	1	1	1	1
Beijing/BJ1112/2020	1	1	1	1	1	1
Beijing/BJ243/2020	2	2	2	2	2	2
Beijing/BJ251/2020	3	3	3	3	3	2
Beijing/BJ252/2020	3	3	3	3	3	2
Beijing/BJ287/2020	1	1	1	1	1	1
Beijing/BJ288/2020	1	1	1	1	1	1
Beijing/BJ390/2020	1	1	1	1	1	1
Beijing/BJ414/2020	4	4	1	1	1	1
Beijing/BJ416/2020	1	1	1	1	1	1
Beijing/BJ492/2020	1	1	1	1	1	1
Beijing/BJ53/2020	3	3	3	3	3	2
Beijing/BJ54/2020	3	3	3	3	3	2
Beijing/BJ556/2020	1	1	1	1	1	1
Beijing/BJ561/2020	1	1	1	1	1	1
Beijing/BJ589/2020	1	1	1	1	1	1
Beijing/BJ625/2020	3	3	3	3	3	2
Beijing/BJ705/2020	5	3	3	3	3	2
Beijing/BJ709/2020	5	3	3	3	3	2
Beijing/BJ710/2020	5	3	3	3	3	2
Beijing/BJ752/2020	1	1	1	1	1	1
Beijing/BJ782/2020	1	1	1	1	1	1
Beijing/DT-BJ01/2020	3	3	3	3	3	2
Beijing/DT-BJ02/2020	5	3	3	3	3	2
Beijing/DT-BJ03/2020	5	3	3	3	3	2
Beijing/DT-BJ04/2020	3	3	3	3	3	2
Beijing/DT-WH01/2020	3	3	3	3	3	2
Beijing/DT-WH02/2020	3	3	3	3	3	2
Beijing/DT-WH03/2020	3	3	3	3	3	2
Beijing/DT-WH04/2020	5	3	3	3	3	2
Beijing/DT-travelAT01/2020	6	5	4	4	2	2
Beijing/DT-travelCA01/2020	7	6	2	2	2	2
Beijing/DT-travelDE01/2020	3	3	3	3	3	2
Beijing/DT-travelES02/2020	8	7	5	5	4	1
Beijing/DT-travelES03/2020	9	8	2	2	2	2
Beijing/DT-travelGR01/2020	2	2	2	2	2	2
Beijing/DT-travelIRI01/2020	10	9	6	6	5	2
Beijing/DT-travelIT01/2020	9	8	2	2	2	2
Beijing/DT-travelIT02/2020	9	8	2	2	2	2
Beijing/DT-travelIT03/2020	9	8	2	2	2	2
Beijing/DT-travelIT04/2020	3	3	3	3	3	2
Beijing/DT-travelNO01/2020	5	3	3	3	3	2
Beijing/DT-travelUSA01/2020	3	3	3	3	3	2
Beijing/ICDC-DT005/2020	5	3	3	3	3	2
Beijing/IME-HZ01/2020	3	3	3	3	3	2
Beijing/IVDC-BJ-005/2020	1	1	1	1	1	1
Beijing/Wuhan_IME-BJ01/2020	1	1	1	1	1	1
Beijing/Wuhan_IME-BJ02/2020	1	1	1	1	1	1
Beijing/Wuhan_IME-BJ03/2020	1	1	1	1	1	1
Beijing/Wuhan_IME-BJ04/2020	1	1	1	1	1	1
Beijing/Wuhan_IME-BJ05/2020	3	3	3	3	3	2
Beijing/Wuhan_IME-BJ07/2020	1	1	1	1	1	1
Changzhou/JS27/2020	5	3	3	3	3	2
Chongqing/IVDC-CQ-001/2020	5	3	3	3	3	2
Chongqing/YC01/2020	11	10	7	7	6	1
Chongqing/ZX01/2020	3	3	3	3	3	2
Foshan/20SF207/2020	3	3	3	3	3	2
Foshan/20SF210/2020	3	3	3	3	3	2
Foshan/20SF211/2020	3	3	3	3	3	2
Fujian/13/2020	3	3	3	3	3	2
Fujian/3520022Y/2020	1	1	1	1	1	1
Fujian/8/2020	11	10	7	7	6	1
Fujian/IM3520001T/2020	7	6	2	2	2	2
Fujian/IM3520002T/2020	12	11	8	8	2	2
Fuyang/FY002/2020	13	3	3	3	3	2
Fuzhou/JX2009/2020	11	10	7	7	6	1
Fuzhou/JX2012/2020	11	10	7	7	6	1
Fuzhou/JX2019/2020	5	3	3	3	3	2
Gansu/NPRC0003/2020	5	3	3	3	3	2
Ganzhou/JX81/2020	1	1	1	1	1	1
Guangdong/2020XN4239-P0034/2020	3	3	3	3	3	2
Guangdong/2020XN4243-P0035/2020	1	1	1	1	1	1
Guangdong/2020XN4273-P0036/2020	1	1	1	1	1	1
Guangdong/2020XN4276-P0037/2020	1	1	1	1	1	1
Guangdong/2020XN4291-P0038/2020	14	12	3	3	3	2
Guangdong/2020XN4373-P0039/2020	3	3	3	3	3	2
Guangdong/2020XN4433-P0040/2020	3	3	3	3	3	2
Guangdong/2020XN4448-P0002/2020	3	3	3	3	3	2
Guangdong/2020XN4459-P0041/2020	1	1	1	1	1	1
Guangdong/2020XN4475-P0042/2020	14	12	3	3	3	2
Guangdong/20SF028/2020	3	3	3	3	3	2
Guangdong/20SF040/2020	3	3	3	3	3	2
Guangdong/20SF043/2020	3	3	3	3	3	2
Guangdong/20SF1107/2020	14	12	3	3	3	2
Guangdong/20SF1136/2020	5	3	3	3	3	2
Guangdong/20SF115/2020	1	1	1	1	1	1
Guangdong/20SF1152/2020	3	3	3	3	3	2
Guangdong/20SF1153/2020	3	3	3	3	3	2
Guangdong/20SF1159/2020	5	3	3	3	3	2
Guangdong/20SF117/2020	1	1	1	1	1	1
Guangdong/20SF118/2020	11	10	7	7	6	1
Guangdong/20SF123/2020	11	10	7	7	6	1
Guangdong/20SF156/2020	5	3	3	3	3	2
Guangdong/20SF174/2020	3	3	3	3	3	2
Guangdong/20SF179/2020	5	3	3	3	3	2
Guangdong/20SF190/2020	3	3	3	3	3	2
Guangdong/20SF195/2020	3	3	3	3	3	2
Guangdong/20SF198/2020	5	3	3	3	3	2
Guangdong/20SF200/2020	3	3	3	3	3	2
Guangdong/20SF201/2020	3	3	3	3	3	2
Guangdong/20SF243/2020	3	3	3	3	3	2
Guangdong/20SF254/2020	1	1	1	1	1	1
Guangdong/20SF2546/2020	1	1	1	1	1	1
Guangdong/20SF262/2020	5	3	3	3	3	2
Guangdong/20SF273/2020	3	3	3	3	3	2
Guangdong/20SF316/2020	3	3	3	3	3	2
Guangdong/20SF4047/2020	1	1	1	1	1	1
Guangdong/20SF4051/2020	1	1	1	1	1	1
Guangdong/20SF602/2020	5	3	3	3	3	2
Guangdong/20SF616/2020	3	3	3	3	3	2
Guangdong/20SF629/2020	5	3	3	3	3	2
Guangdong/20SF630/2020	3	3	3	3	3	2
Guangdong/20SF632/2020	3	3	3	3	3	2
Guangdong/20SF665/2020	3	3	3	3	3	2
Guangdong/20SF684/2020	1	1	1	1	1	1
Guangdong/20SF685/2020	1	1	1	1	1	1
Guangdong/20SF753/2020	5	3	3	3	3	2
Guangdong/20SF758/2020	3	3	3	3	3	2
Guangdong/20SF808/2020	3	3	3	3	3	2
Guangdong/20SF812/2020	3	3	3	3	3	2
Guangdong/20SF813/2020	1	1	1	1	1	1
Guangdong/20SF822/2020	5	3	3	3	3	2
Guangdong/20SF840/2020	3	3	3	3	3	2
Guangdong/DG-S2-P0054/2020	3	3	3	3	3	2
Guangdong/DG-S41-P0056/2020	5	3	3	3	3	2
Guangdong/DG-S6-P0055/2020	5	3	3	3	3	2
Guangdong/DG-S9-P0045/2020	3	3	3	3	3	2
Guangdong/FS-S29-P0051/2020	1	1	1	1	1	1
Guangdong/FS-S30-P0052/2020	11	10	7	7	6	1
Guangdong/FS-S34-P0015/2020	11	10	7	7	6	1
Guangdong/FS-S42-P0046/2020	3	3	3	3	3	2
Guangdong/FS-S48-P0047/2020	5	3	3	3	3	2
Guangdong/FS-S50-P0053/2020	3	3	3	3	3	2
Guangdong/GD2020012-P0022/2020	5	3	3	3	3	2
Guangdong/GD2020016-P0011/2020	5	3	3	3	3	2
Guangdong/GD2020080-P0010/2020	3	3	3	3	3	2
Guangdong/GD2020085-P0043/2020	1	1	1	1	1	1
Guangdong/GD2020086-P0021/2020	11	10	7	7	6	1
Guangdong/GD2020087-P0008/2020	5	3	3	3	3	2
Guangdong/GD2020115-P0009/2020	3	3	3	3	3	2
Guangdong/GD2020134-P0031/2020	3	3	3	3	3	2
Guangdong/GD2020139-P0007/2020	3	3	3	3	3	2
Guangdong/GD2020227-P0029/2020	3	3	3	3	3	2
Guangdong/GD2020233-P0027/2020	14	12	3	3	3	2
Guangdong/GD2020234-P0023/2020	11	10	7	7	6	1
Guangdong/GD2020241-P0013/2020	5	3	3	3	3	2
