Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Anhui/SZ005/2020	Cow_Farm	China	Anhui	Suzhou	31.8238602	117.2314758	24	1	2020	1	1
Beijing/105/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	26	1	2020	1	1
Beijing/231/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	28	1	2020	1	1
Beijing/BJ1112/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	25	2	2020	1	1
Beijing/BJ251/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	29	1	2020	1	1
Beijing/BJ252/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	29	1	2020	1	1
Beijing/BJ287/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	29	1	2020	1	1
Beijing/BJ390/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	31	1	2020	1	1
Beijing/BJ416/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	1	2	2020	1	1
Beijing/BJ54/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	24	1	2020	1	1
Beijing/BJ556/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	4	2	2020	1	1
Beijing/BJ561/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	4	2	2020	1	1
Beijing/BJ625/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	6	2	2020	1	1
Beijing/BJ709/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	7	2	2020	1	1
Beijing/BJ710/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	7	2	2020	1	1
Beijing/BJ752/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	8	2	2020	1	1
Beijing/BJ782/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	10	2	2020	1	1
Beijing/DT-BJ01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	11	2	2020	1	1
Beijing/DT-BJ02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	8	2	2020	1	1
Beijing/DT-BJ03/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	11	2	2020	1	1
Beijing/DT-BJ04/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	5	2	2020	1	1
Beijing/DT-WH01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	1	2	2020	1	1
Beijing/DT-WH03/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	1	2	2020	1	1
Beijing/DT-WH04/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	31	1	2020	1	1
Beijing/DT-travelAT01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	13	3	2020	1	1
Beijing/DT-travelCA01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	12	3	2020	1	1
Beijing/DT-travelDE01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	13	3	2020	1	1
Beijing/DT-travelES02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	12	3	2020	1	1
Beijing/DT-travelES03/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	7	3	2020	1	1
Beijing/DT-travelES04/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	19	3	2020	0	1
Beijing/DT-travelFR02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	24	3	2020	0	1
Beijing/DT-travelHU01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	19	3	2020	0	1
Beijing/DT-travelHU02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	18	3	2020	0	1
Beijing/DT-travelIRI01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	12	3	2020	1	1
Beijing/DT-travelIT01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	5	3	2020	1	1
Beijing/DT-travelIT03/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	7	3	2020	1	1
Beijing/DT-travelIT04/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	4	3	2020	1	1
Beijing/DT-travelMX01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	22	3	2020	0	1
Beijing/DT-travelNO01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	12	3	2020	1	1
Beijing/DT-travelUK01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	22	3	2020	0	1
Beijing/DT-travelUK02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	16	3	2020	0	1
Beijing/DT-travelUK04/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	20	3	2020	0	1
Beijing/DT-travelUSA01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	29	2	2020	1	1
Beijing/DT-travelUSA02/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	19	3	2020	0	1
Beijing/DT-travelUSA03/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	19	3	2020	0	1
Beijing/ICDC-DT005/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	5	2	2020	1	1
Beijing/IME-HZ01/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	22	1	2020	1	1
Beijing/IVDC-01-06/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	11	6	2020	0	1
Beijing/IVDC-02-06/2020	Cow_Farm	China	Beijing	Suzhou	39.9078064	116.397583	11	6	2020	0	1
