Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Spain/NC-IBV-97020603/2020	Cow_Farm	Spain	Navarra	Pamplona	42.6680717	-1.646924	1	8	2020	1	1
Wales/PHWC-47D6AE/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	8	10	2020	1	1
Switzerland/SO-ETHZ-420021/2020	Cow_Farm	Switzerland	Solothurn	0	47.2069588	7.5333118	18	12	2020	0	1
Scotland/QEUH-129F5E4/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	14	2	2021	0	1
Netherlands/UT-RIVM-11859/2021	Cow_Farm	Netherlands	Utrecht	0	52.0916824	5.1203632	2	2	2021	0	1
Wales/PHWC-4C9BB3/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	10	2	2021	0	1
mink/Denmark/mDK-170/2020	Cow_Farm	Denmark	0	0	50.6031036	9.0311127	7	11	2020	0	1
mink/Denmark/mDK-234/2020	Cow_Farm	Denmark	0	0	50.6031036	9.0311127	2	11	2020	0	1
Netherlands/ZH-EMC-1296/2020	Cow_Farm	Netherlands	South Holland	0	51.9377823	4.462554	21	12	2020	0	1
Scotland/QEUH-9CEAF8/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	17	9	2020	1	1
Poland/19832/2020	Cow_Farm	Poland	0	0	56.2487679	9.3879137	1	11	2020	0	1
Turkey/HSGM-1626/2021	Cow_Farm	Turkey	0	0	51.5001526	-0.126236	21	1	2021	0	1
Ireland/MH-NVRL-t21IRL29644/2021	Cow_Farm	Ireland	Meath	0	53.6546021	-6.688817	15	2	2021	0	1
Switzerland/BL-ETHZ-451529/2021	Cow_Farm	Switzerland	Basel-Land	0	47.501203	7.715625	11	1	2021	0	1
Portugal/PT3219/2021	Cow_Farm	Portugal	0	0	55.438162	11.716534	9	2	2021	0	1
Germany/SN-RKI-I-032107/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	23	2	2021	0	1
Switzerland/VD-ETHZ-280220/2020	Cow_Farm	Switzerland	Vaud	0	46.657185	6.505449	9	9	2020	1	1
NorthernIreland/QEUH-96AA49/2020	Cow_Farm	United Kingdom	Northern Ireland	0	54.6089058	-6.6949229	17	8	2020	1	1
Spain/CT-HUGTiPR005TQ1A2/2021	Cow_Farm	Spain	Catalunya	Badalona	41.7979813	1.528533	9	2	2021	0	1
Spain/CT-HUVH-84939/2020	Cow_Farm	Spain	Catalunya	0	41.7979813	1.528533	27	7	2020	1	1
Sweden/20-52943/2020	Cow_Farm	Sweden	Orebro	0	59.2737541	15.2075396	27	8	2020	1	1
Wales/MILK-9EEB3B/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	23	9	2020	1	1
Italy/CAM-COTUGNO-11265/2020	Cow_Farm	Italy	Campania	0	40.8605804	14.8440666	21	12	2020	0	1
Sweden/SE00163187/2021	Cow_Farm	Sweden	Skane	0	55.7999992	13.6169996	18	1	2021	0	1
Luxembourg/LNS6034314/2020	Cow_Farm	Luxembourg	Luxembourg	0	49.889965	5.457335	23	11	2020	0	1
Wales/PHWC-4BCC65/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	18	1	2021	0	1
Spain/CT-IrsiCaixaR003MP1E8/2021	Cow_Farm	Spain	Catalunya	Badalona	41.7979813	1.528533	1	2	2021	0	1
Spain/VC-IBV-98014429/2020	Cow_Farm	Spain	Comunitat Valenciana	Valencia	39.3902435	-0.543139	14	10	2020	1	1
Ireland/D-NVRL-21IRL42550/2021	Cow_Farm	Ireland	Dublin	0	53.3440971	-6.2674861	13	2	2021	0	1
Wales/PHWC-49446B/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	19	11	2020	0	1
Germany/NW-RKI-I-017423/2021	Cow_Farm	Germany	North Rhine Westphalia	0	51.4796906	7.5623112	30	1	2021	0	1
Wales/PHWC-499642/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	3	12	2020	0	1
Sweden/SE00208864/2021	Cow_Farm	Sweden	Skane	0	55.7999992	13.6169996	1	2	2021	0	1
Portugal/PT2416/2021	Cow_Farm	Portugal	0	0	55.8761482	12.3121624	12	1	2021	0	1
Luxembourg/LNS2321488/2020	Cow_Farm	Luxembourg	Luxembourg	0	49.889965	5.457335	24	11	2020	0	1
Iceland/4062/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	24	9	2020	1	1
Scotland/QEUH-13360CF/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	25	2	2021	0	1
Wales/MILK-993F2A/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	25	8	2020	1	1
