Strain	T0
Andorra/202552/2020	3923
Austria/CeMM0001/2020	3429
Austria/CeMM0002/2020	3448
Austria/CeMM0003/2020	1074
Austria/CeMM0005/2020	2256
Austria/CeMM0006/2020	3974
Austria/CeMM0007/2020	450
Austria/CeMM0008/2020	3994
Austria/CeMM0009/2020	3428
Austria/CeMM0010/2020	1078
Austria/CeMM0012/2020	795
Austria/CeMM0013/2020	706
Austria/CeMM0014/2020	365
Austria/CeMM0015/2020	154
Austria/CeMM0016/2020	3913
Austria/CeMM0017/2020	712
Austria/CeMM0023/2020	807
Austria/CeMM0024/2020	646
Austria/CeMM0025/2020	528
Austria/CeMM0027/2020	529
Austria/CeMM0028/2020	614
Austria/CeMM0029/2020	752
Austria/CeMM0030/2020	746
Austria/CeMM0031/2020	705
Austria/CeMM0032/2020	823
Austria/CeMM0033/2020	536
Austria/CeMM0034/2020	825
Austria/CeMM0035/2020	545
Austria/CeMM0036/2020	489
Austria/CeMM0037/2020	831
Austria/CeMM0038/2020	598
Austria/CeMM0039/2020	799
Austria/CeMM0041/2020	4781
Austria/CeMM0042/2020	794
Austria/CeMM0043/2020	3353
Austria/CeMM0045/2020	1273
Austria/CeMM0068/2020	4243
Austria/CeMM0071/2020	272
Austria/CeMM0073/2020	850
Austria/CeMM0108/2020	3221
Austria/CeMM0109/2020	4636
Austria/CeMM0111/2020	1104
Austria/CeMM0116/2020	617
Austria/CeMM0117/2020	615
Austria/CeMM0118/2020	747
Austria/CeMM0119/2020	2874
Austria/CeMM0120/2020	371
Austria/CeMM0121/2020	833
Austria/CeMM0123/2020	878
Austria/CeMM0124/2020	828
Austria/CeMM0125/2020	600
Austria/CeMM0126/2020	1524
Austria/CeMM0127/2020	378
Austria/CeMM0128/2020	825
Austria/CeMM0132/2020	806
Austria/CeMM0133/2020	620
Austria/CeMM0134/2020	562
Austria/CeMM0135/2020	830
Austria/CeMM0136/2020	704
Austria/CeMM0137/2020	1005
Austria/CeMM0139/2020	603
Austria/CeMM0140/2020	1997
Austria/CeMM0143/2020	1086
Austria/CeMM0146/2020	1089
Austria/CeMM0147/2020	1069
Austria/CeMM0148/2020	1082
Austria/CeMM0149/2020	1063
Austria/CeMM0150/2020	1080
Austria/CeMM0153/2020	1270
Austria/CeMM0154/2020	1091
Austria/CeMM0155/2020	224
Austria/CeMM0156/2020	225
Austria/CeMM0157/2020	1059
Austria/CeMM0158/2020	1087
Austria/CeMM0159/2020	1065
Austria/CeMM0160/2020	1058
Austria/CeMM0161/2020	1085
Austria/CeMM0162/2020	1084
Austria/CeMM0163/2020	226
Austria/CeMM0165/2020	1066
Austria/CeMM0166/2020	1083
Austria/CeMM0167/2020	1805
Austria/CeMM0168/2020	1062
Austria/CeMM0169/2020	1059
Austria/CeMM0170/2020	1071
Austria/CeMM0171/2020	1060
Austria/CeMM0172/2020	1070
Austria/CeMM0175/2020	1051
Austria/CeMM0176/2020	1059
Austria/CeMM0177/2020	1055
Austria/CeMM0178/2020	1076
Austria/CeMM0180/2020	1061
Austria/CeMM0181/2020	1068
Austria/CeMM0182/2020	1079
Austria/CeMM0183/2020	1059
Austria/CeMM0184/2020	803
Austria/CeMM0185/2020	1077
Austria/CeMM0186/2020	223
Austria/CeMM0187/2020	1056
Austria/CeMM0188/2020	684
Austria/CeMM0189/2020	1828
Austria/CeMM0190/2020	1088
Austria/CeMM0191/2020	2883
Austria/CeMM0192/2020	3329
Austria/CeMM0193/2020	808
Austria/CeMM0194/2020	827
Austria/CeMM0195/2020	820
Austria/CeMM0196/2020	847
Austria/CeMM0197/2020	1081
Austria/CeMM0198/2020	1841
Austria/CeMM0199/2020	3912
Austria/CeMM0200/2020	1067
Austria/CeMM0201/2020	800
Austria/CeMM0204/2020	531
Austria/CeMM0205/2020	1052
Austria/CeMM0206/2020	1827
Austria/CeMM0209/2020	1842
Austria/CeMM0210/2020	3914
Austria/CeMM0212/2020	2021
Austria/CeMM0213/2020	1073
Austria/CeMM0216/2020	4126
Austria/CeMM0217/2020	1057
Austria/CeMM0218/2020	1054
Austria/CeMM0219/2020	1053
Austria/CeMM0220/2020	1719
Austria/CeMM0221/2020	4125
Austria/CeMM0366/2020	238
Austria/CeMM0390/2020	4545
Austria/CeMM0391/2020	1924
Austria/CeMM0401/2020	1064
Austria/CeMM0402/2020	1715
Austria/CeMM0403/2020	2283
Austria/CeMM0413/2020	3149
Austria/CeMM0414/2020	1469
Austria/CeMM0423/2020	3412
Austria/CeMM0425/2020	3414
Austria/CeMM0426/2020	3965
Austria/CeMM0427/2020	1469
Austria/CeMM0439/2020	793
Austria/CeMM0449/2020	4465
Austria/CeMM0451/2020	1463
Austria/CeMM0460/2020	3411
Austria/CeMM0461/2020	1469
Austria/CeMM0462/2020	1462
Austria/CeMM0463/2020	785
Austria/CeMM0472/2020	1072
Austria/CeMM0473/2020	1469
Austria/CeMM0474/2020	1924
Austria/CeMM0475/2020	3965
Austria/CeMM0484/2020	1469
Austria/CeMM0555/2020	669
Austria/CeMM0556/2020	3208
Austria/CeMM0557/2020	2870
Austria/CeMM0558/2020	793
Austria/CeMM0559/2020	595
Austria/CeMM0562/2020	550
Austria/CeMM0563/2020	1423
Austria/CeMM0570/2020	2328
Austria/CeMM0571/2020	668
Austria/CeMM0577/2020	4238
Austria/CeMM0581/2020	871
Belgium/030959/2020	1335
Belgium/AC-030982/2020	3431
Belgium/AKM-030670/2020	1244
Belgium/BA-02291/2020	678
Belgium/BC-03016/2020	1340
Belgium/BDW-030694/2020	916
Belgium/BG-030551/2020	916
Belgium/BG-030955/2020	1244
Belgium/BGM-030444/2020	498
Belgium/BJ-030767/2020	1519
Belgium/BM-03012/2020	916
Belgium/BM-030687/2020	1985
Belgium/BS-030598/2020	1952
Belgium/BWM-0311356/2020	4712
Belgium/CD-030679/2020	1340
Belgium/CG-030158/2020	3406
Belgium/CS-031052/2020	3320
Belgium/DA-030691/2020	4185
Belgium/DAL-030650/2020	1891
Belgium/DB-03023/2020	4187
Belgium/DBA-03032/2020	1891
Belgium/DBD-03024/2020	1248
Belgium/DBOM-030566/2020	678
Belgium/DCS-030796/2020	1297
Belgium/DD-030593/2020	1243
Belgium/DHWM-03041/2020	1522
Belgium/DJ-030452/2020	1296
Belgium/DLDJ-030569/2020	4249
Belgium/DVBJ-030468/2020	379
Belgium/DWAEE-030954/2020	1769
Belgium/ECC-030686/2020	4249
Belgium/FAE-030948/2020	4543
Belgium/FM-030592/2020	3896
Belgium/FR-03029/2020	1261
Belgium/GE-030573/2020	4206
Belgium/GJ-030458/2020	1334
Belgium/GL-030546/2020	953
Belgium/GMH-03022/2020	1891
Belgium/GOF-030578/2020	498
Belgium/GS-030549/2020	498
Belgium/GSA-030454/2020	1891
Belgium/HAA-030953/2020	2283
Belgium/HC-030760/2020	1134
Belgium/HL-030771/2020	955
Belgium/JK-0305110/2020	916
Belgium/JL-03044/2020	1840
Belgium/JRH-030459/2020	4329
Belgium/KA-03042/2020	4297
Belgium/KN-030756/2020	1511
Belgium/LD-030597/2020	1420
Belgium/LM-030685/2020	1340
Belgium/LT-030956/2020	790
Belgium/LY-030575/2020	1248
Belgium/MC-030689/2020	916
Belgium/MCW-030574/2020	1248
Belgium/MF-030546/2020	1891
Belgium/MJP-0306100/2020	3431
Belgium/MJP-030684/2020	1334
Belgium/MMJ-03034/2020	1969
Belgium/MTR-03021/2020	1891
Belgium/MTR-03026/2020	1891
Belgium/NKR-030645/2020	4545
Belgium/NL-030447/2020	1891
Belgium/PA-030680/2020	1339
Belgium/PAN-030681/2020	1340
Belgium/QKJ-03015/2020	1248
Belgium/QOJ-030751/2020	1296
Belgium/RA-030445/2020	4193
Belgium/RA-030664/2020	973
Belgium/RDC-030961/2020	4545
Belgium/rega-0309752/2020	1978
Belgium/REGA-0312401/2020	734
Belgium/Rega-0316260/2020	1246
Belgium/RJ-030552/2020	1902
Belgium/RJL-030588/2020	1513
Belgium/RR-030699/2020	1245
Belgium/RS-030257/2020	3972
Belgium/RS-030677/2020	1336
Belgium/RT-03035/2020	4689
Belgium/RT-030460/2020	4690
Belgium/RYR-030649/2020	1334
Belgium/SB-030990/2020	951
Belgium/SH-03014/2020	4799
Belgium/SJ-030583/2020	3431
Belgium/SN-03031/2020	4186
Belgium/SQ-03043/2020	1969
Belgium/SS-031047/2020	955
Belgium/TG-030757/2020	1987
Belgium/UGent-78/2020	398
Belgium/UGent-79/2020	4410
Belgium/UGent-82/2020	793
Belgium/UGent-83/2020	4411
Belgium/UGent-85/2020	575
Belgium/UGent-86/2020	609
Belgium/UGent-87/2020	793
Belgium/UGent-88/2020	4249
Belgium/UGent-90/2020	793
Belgium/UGent-91/2020	4409
Belgium/UGent-92/2020	4242
Belgium/UGent-93/2020	789
Belgium/UGent-94/2020	2887
Belgium/ULG-10213/2020	499
Belgium/ULG-10214/2020	3431
Belgium/ULG-2971/2020	1337
Belgium/ULG-3000/2020	1340
Belgium/ULG-3163/2020	500
Belgium/ULG-3662/2020	2247
Belgium/ULG-3665/2020	2245
Belgium/ULG-3683/2020	2246
Belgium/ULG-3843/2020	1338
Belgium/ULG-4163/2020	4233
Belgium/ULG-6216/2020	1714
Belgium/ULG-6457/2020	1312
Belgium/ULG-6503/2020	4239
Belgium/ULG-6638/2020	2136
Belgium/ULG-6649/2020	812
Belgium/ULG-6670/2020	463
Belgium/ULG-6688/2020	3405
Belgium/ULG-6732/2020	464
Belgium/ULG-6743/2020	3431
Belgium/ULG-6754/2020	4226
Belgium/ULG-6839/2020	4543
Belgium/ULG-6842/2020	3431
Belgium/ULG-6939/2020	673
Belgium/ULG-6942/2020	1397
Belgium/ULG-6948/2020	1397
Belgium/ULG-6950/2020	1398
Belgium/ULG-6972/2020	4242
Belgium/ULG-7019/2020	2135
Belgium/ULG-7134/2020	4503
Belgium/ULG-7242/2020	1397
Belgium/ULG-7500/2020	4545
Belgium/UMF-03025/2020	1248
Belgium/VAG-03013/2020	4273
Belgium/VBK-03061/2020	1990
Belgium/VDLH-030548-2/2020	4392
Belgium/VDLH-030548/2020	916
Belgium/VF-030562/2020	1902
Belgium/VGA-030672/2020	1518
Belgium/VHC-030655/2020	4240
Belgium/VHRA-030644/2020	4280
Belgium/VI-03027/2020	1950
Belgium/VJP-030463/2020	1902
Belgium/VLM-03011/2020	4273
Belgium/VMC-030695/2020	1419
Belgium/VPE-030650/2020	3278
Belgium/VRAR-030643/2020	4800
Belgium/VS-030542/2020	1740
Belgium/WAM-030676/2020	1340
Belgium/WWM-030665/2020	1891
Bulgaria/41/2020	4285
Croatia/297_Varazdin/2020	925
Croatia/361_Pula/2020	924
Croatia/592_Osijek/2020	923
Croatia/ZG-297-20/2020	1647
Cyprus/001/2020	1128
Denmark/ALAB-1000/2020	793
Denmark/ALAB-HH-101/2020	1716
Denmark/ALAB-HH-102/2020	593
Denmark/ALAB-HH-104/2020	4700
Denmark/ALAB-HH-106/2020	4797
Denmark/ALAB-HH-107/2020	723
Denmark/ALAB-HH-108/2020	711
Denmark/ALAB-HH-110/2020	609
Denmark/ALAB-HH-111/2020	711
Denmark/ALAB-HH-112/2020	764
Denmark/ALAB-HH-113/2020	793
Denmark/ALAB-HH-114/2020	597
Denmark/ALAB-HH-115/2020	668
Denmark/ALAB-HH-116/2020	711
Denmark/ALAB-HH-119/2020	891
Denmark/ALAB-HH-121/2020	4027
Denmark/ALAB-HH-122/2020	776
Denmark/ALAB-HH-123/2020	239
Denmark/ALAB-HH-124/2020	718
Denmark/ALAB-HH-125/2020	625
Denmark/ALAB-HH-126/2020	609
Denmark/ALAB-HH-127/2020	527
Denmark/ALAB-HH-128/2020	475
Denmark/ALAB-HH-129/2020	4139
Denmark/ALAB-HH-131/2020	765
Denmark/ALAB-HH-134/2020	780
Denmark/ALAB-HH-135/2020	768
Denmark/ALAB-HH-136/2020	609
Denmark/ALAB-HH-137/2020	719
Denmark/ALAB-HH-138/2020	616
Denmark/ALAB-HH-139/2020	709
Denmark/ALAB-HH-140/2020	1899
Denmark/ALAB-HH-141/2020	776
Denmark/ALAB-HH-142/2020	777
Denmark/ALAB-HH-143/2020	776
Denmark/ALAB-HH-144/2020	3341
Denmark/ALAB-HH-145/2020	848
Denmark/ALAB-HH-148/2020	775
Denmark/ALAB-HH-97/2020	1393
Denmark/ALAB-HH-99/2020	1423
